  UID   PID  PPID   C STIME   TTY           TIME CMD
  501  2928     1   0  8Feb24 ??         0:00.57 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  501  3177     1   0  8Feb24 ??         0:23.03 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn launchd -s
  202  3361     1   0 27Feb24 ??       534:44.84 /usr/sbin/coreaudiod
  501  3531     1   0 27Feb24 ??        73:55.72 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
    0  4105     1   0 27Feb24 ??         2:07.39 /usr/libexec/wifip2pd
  501  4136     1   0 27Feb24 ??        65:22.52 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  501  4428     1   0 27Feb24 ??         0:46.24 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  501  4850     1   0  8Feb24 ??         0:00.74 /usr/bin/ssh-agent -l
    0 11583     1   0  8Feb24 ??         0:06.89 /usr/libexec/logd_reporter
  296 11592     1   0  8Feb24 ??         0:17.73 /usr/sbin/distnoted agent
  247 20909     1   0 Thu09PM ??         3:15.61 /usr/libexec/gamecontrollerd
  501 20910     1   0 Thu09PM ??         0:10.87 /usr/libexec/gamecontrolleragentd
  501 21291     1   0  8Feb24 ??         0:00.04 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
  200 21346     1   0 21Feb24 ??         0:04.39 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
    0 21356     1   0 21Feb24 ??         0:09.00 /private/var/db/com.apple.xpc.roleaccountd.staging/exec/16777230.34108245.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.UpdateBrainService
  294 21620     1   0  8Feb24 ??         0:18.29 /usr/sbin/distnoted agent
  501 21762     1   0 21Feb24 ??        54:15.80 /System/Library/CoreServices/screencaptureui.app/Contents/MacOS/screencaptureui
  501 22947     1   0 Thu10PM ??         0:05.30 /Users/vladislavferafontov/Library/Application Support/Figma/FigmaAgent.app/Contents/MacOS/figma_agent
    0 24939     1   0  9Feb24 ??        34:54.18 /usr/libexec/mobileassetd
    0 27992     1   0 10Feb24 ??         0:04.52 /usr/libexec/warmd
  501 30588     1   0 11Feb24 ??         0:00.12 /System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbuseragent
  501 33661     1   0 12Feb24 ??         0:00.19 /System/Cryptexes/App/usr/libexec/SafariHistoryServiceAgent
    0 39610     1   0 12Feb24 ??         0:01.47 /Library/PrivilegedHelperTools/com.docker.vmnetd
  501 42477     1   0 13Feb24 ??         0:28.92 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
  501 42552     1   0 Mon07PM ??         0:01.89 /Applications/Adblock Plus.app/Contents/PlugIns/Adblock Plus Toolbar.appex/Contents/MacOS/Adblock Plus Toolbar -AppleLanguages ("en-DE", "de-DE", "ru-DE")
  501 54272     1   0  2:16PM ??         0:00.86 /System/Library/CoreServices/talagent
  501 54964     1   0  2:49PM ??         0:04.09 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
    0 55005     1   0  2:50PM ??         0:03.36 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
  501 55040     1   0  2:51PM ??         0:03.57 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
  501 55722     1   0  3:04PM ??         0:06.64 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  501 55948     1   0  3:24PM ??        34:38.06 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501 60537     1   0  7:04PM ??         0:06.09 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistant_service
  501 61305     1   0  7:38PM ??         0:02.88 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  289 61316     1   0  7:38PM ??         0:01.98 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  501 61338     1   0  7:38PM ??         0:03.21 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  501 61379     1   0  7:40PM ??         0:05.32 /usr/libexec/knowledge-agent
  501 61450     1   0  7:42PM ??         0:05.78 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
    0 61753     1   0  7:55PM ??         1:00.96 /usr/libexec/PerfPowerServices
    0 62982     1   0 24Feb24 ??         1:39.83 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
  501 64179     1   0  9:23PM ??         0:00.41 /usr/libexec/SidecarRelay
  501 64224     1   0  9:24PM ??         0:08.67 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  501 64229     1   0  9:24PM ??         0:00.22 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
    0 64238     1   0  9:24PM ??         0:18.49 /usr/libexec/coreduetd
  265 64239     1   0  9:24PM ??         0:01.17 /System/Library/PrivateFrameworks/CoreADI.framework/adid
    0 64240     1   0  9:24PM ??         0:04.09 /usr/libexec/rtcreportingd
  501 64243     1   0  9:24PM ??         0:00.16 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
  501 64245     1   0  9:24PM ??         0:04.21 /usr/libexec/networkserviceproxy
  501 64272     1   0  9:25PM ??         0:02.10 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
  501 64294     1   0  9:26PM ??         0:02.29 /usr/libexec/swcd
  501 64295     1   0  9:26PM ??         0:03.22 /System/Library/PrivateFrameworks/Translation.framework/translationd
  501 64298     1   0  9:26PM ??         0:00.23 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  501 64321     1   0  9:27PM ??         0:00.17 /System/Library/CoreServices/pbs
  282 64462     1   0  9:30PM ??         0:13.19 /usr/libexec/trustd
  501 64463     1   0  9:30PM ??         0:18.72 /usr/libexec/trustd --agent
  501 64563     1   0  9:35PM ??         0:00.71 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  202 64570     1   0  9:35PM ??         0:00.21 Core Audio Driver (TVRemoteAudio.driver)
  501 64585     1   0  9:35PM ??         0:00.29 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  501 64588     1   0  9:35PM ??         0:01.61 /System/Library/CoreServices/audioaccessoryd
  501 64589     1   0  9:36PM ??         0:03.89 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  501 64592     1   0  9:36PM ??         0:00.62 /usr/libexec/intelligentroutingd
  501 64593     1   0  9:36PM ??         0:01.46 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
    0 64594     1   0  9:36PM ??         0:01.10 /usr/libexec/usermanagerd -t 15
    0 64597     1   0  9:36PM ??         0:00.49 /usr/libexec/ospredictiond
  501 64598     1   0  9:36PM ??         0:07.13 /usr/libexec/triald
    0 64599     1   0  9:36PM ??         0:00.17 /System/Library/CoreServices/osanalyticshelper server-init
    0 64600     1   0  9:36PM ??         0:00.46 /usr/libexec/powerdatad
